OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads,BOLDalt
OTU644_suspect_mock_chimera,GS,100.0,BOLD:AAJ2319.1,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Analeptura,Analeptura lineola,pomp.4586,62,BOLD:AAJ2319
OTU658,US,0.0000,BOLD:ABZ6275.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4586,3,BOLD:ABZ6275
OTU729_suspect_mock_chimera,GS,100.0,BOLD:AAA2953.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia solicitana,pomp.4586,5,BOLD:AAA2953
OTU847_suspect_mock_chimera,US,0.9885,BOLD:ACI7099.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4586,15,BOLD:ACI7099
OTU884_suspect_mock_chimera,GS,98.9,BOLD:AAA8034.1,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,Ceraclea cancellata,pomp.4586,5,BOLD:AAA8034
OTU1042,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4586,14,None
OTU1077_suspect_mock_chimera,GS,100.0,BOLD:AAG5457.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,pomp.4586,5,BOLD:AAG5457
OTU1119_suspect_mock_chimera,GS,99.4,BOLD:AAE3210.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culiseta,Culiseta morsitans,pomp.4586,8,BOLD:AAE3210
OTU1134_suspect_mock_chimera,GS,98.3,BOLD:ACW4759.1,Animalia,Arthropoda,Insecta,Diptera,Chyromyidae,Gymnochiromyia,NA,pomp.4586,10,BOLD:ACW4759
OTU1369,GSL,98.3,BOLD:AAG2878.10,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Gyponana,Gyponana extenda,pomp.4586,275,BOLD:AAG2878
OTU1587,US,0.8000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4586,4,None
OTU1588,US,0.0000,None,Animalia,Arthropoda,Collembola,Symphypleona,NA,NA,NA,pomp.4586,4,None
OTU1605_suspect_mock_chimera,GS,100.0,BOLD:ACG2990.2,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Pristiphora,Pristiphora chlorea,pomp.4586,5,BOLD:ACG2990
OTU1637,US,0.9881,BOLD:AAD1798.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4586,9,BOLD:AAD1798
OTU1696_suspect_mock_variant,GS,100.0,BOLD:AAB0603.2,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Pseudotelphusa,Pseudotelphusa quercinigracella,pomp.4586,8,BOLD:AAB0603
OTU1759,US,0.8000,None,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4586,11,None
OTU1843,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4586,1,None
OTU1956,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4586,4,None
OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4586,4,None
OTU2098,US,0.0000,None,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,pomp.4586,2,None
OTU2116,US,0.8000,None,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,pomp.4586,1,None
MockIM3_pident=100.0_OTU52,GS,100.0,BOLD:AAA7067.58,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes vexans,pomp.4587,160,BOLD:AAA7067
MockIM15_pident=99.4_OTU104,GS,100.0,BOLD:AAD1808.1,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Lepidophora,Lepidophora lutea,pomp.4587,71,BOLD:AAD1808
MockIM16_pident=100.0_OTU58,GS,100.0,BOLD:AAA0399.6,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Elophila,Elophila obliteralis,pomp.4587,107,BOLD:AAA0399
MockIM27_pident=100.0_OTU67,GS,98.9,BOLD:AAL8071.1,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,Cercyon praetextatus,pomp.4587,145,BOLD:AAL8071
MockIM32_pident=100.0_OTU38,GS,99.4,BOLD:AAK9206.1,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Leucrocuta,Leucrocuta maculipennis,pomp.4587,251,BOLD:AAK9206
MockIM46_pident=100.0_OTU64,GS,100.0,BOLD:AAH6828.3,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euphoria,Euphoria fulgida,pomp.4587,20,BOLD:AAH6828
OTU42_suspect_mock_chimera,GS,100.0,BOLD:AAC6350.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion murarium,pomp.4587,174,BOLD:AAC6350
OTU72_suspect_mock_chimera,GS,100.0,BOLD:ACG7175.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Chionodes,Chionodes bicostomaculella,pomp.4587,294,BOLD:ACG7175
OTU100_suspect_mock_chimera,GS,100.0,BOLD:AAB1667.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,Argyrotaenia quercifoliana,pomp.4587,55,BOLD:AAB1667
OTU167_suspect_mock_chimera,SS,0.5100,BOLD:ACB0787.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4587,1080,BOLD:ACB0787
OTU247_suspect_mock_chimera,GS,99.4,BOLD:AAJ0542.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Euryopis,Euryopis funebris,pomp.4587,35,BOLD:AAJ0542
OTU270_suspect_mock_chimera,GS,99.4,BOLD:AAC5871.1,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,Hentzia palmarum,pomp.4587,98,BOLD:AAC5871
OTU277,US,0.0000,BOLD:ABW8631.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4587,20,BOLD:ABW8631
OTU304_suspect_mock_chimera,GS,100.0,BOLD:AAA7551.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris georgiella,pomp.4587,126,BOLD:AAA7551
OTU328_suspect_mock_chimera,GS,99.4,BOLD:ACB9565.1,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona pygmaea,pomp.4587,13,BOLD:ACB9565
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4587,3,None
OTU426_suspect_mock_chimera,GS,100.0,BOLD:AAD4355.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes provocans,pomp.4587,124,BOLD:AAD4355
OTU724_suspect_mock_chimera,GS,99.4,BOLD:AAB0279.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,NA,pomp.4587,60,BOLD:AAB0279
OTU765_suspect_mock_variant,GS,99.4,BOLD:AAC8095.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Telphusa,Telphusa latifasciella,pomp.4587,776,BOLD:AAC8095
OTU811,GS,100.0,BOLD:ACE7683.1,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Mecaphesa,Mecaphesa asperata,pomp.4587,40,BOLD:ACE7683
