SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,BOLDalt,BandNum,SampleDate,SiteName,Territory,RecapStatus,BirdSpecies,BirdAge,BirdSex
pomp.4586,OTU2098,US,0.0000,None,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,2,None,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU2116,US,0.8000,None,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,1,None,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4587,OTU42,GS,100.0,BOLD:AAC6350.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion murarium,174,BOLD:AAC6350,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU72,GS,100.0,BOLD:ACG7175.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Chionodes,Chionodes bicostomaculella,294,BOLD:ACG7175,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU167,SS,0.5100,BOLD:ACB0787.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,1080,BOLD:ACB0787,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU247,GS,99.4,BOLD:AAJ0542.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Euryopis,Euryopis funebris,35,BOLD:AAJ0542,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU270,GS,99.4,BOLD:AAC5871.1,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,Hentzia palmarum,98,BOLD:AAC5871,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU304,GS,100.0,BOLD:AAA7551.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris georgiella,126,BOLD:AAA7551,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU328,GS,99.4,BOLD:ACB9565.1,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona pygmaea,13,BOLD:ACB9565,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,3,None,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU765,GS,99.4,BOLD:AAC8095.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Telphusa,Telphusa latifasciella,776,BOLD:AAC8095,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU811,GS,100.0,BOLD:ACE7683.1,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Mecaphesa,Mecaphesa asperata,40,BOLD:ACE7683,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU905,GS,100.0,BOLD:AAC1347.1,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Paectes,Paectes oculatrix,1,BOLD:AAC1347,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU1345,GS,98.9,BOLD:AAF6259.1,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Lypha,Lypha dubia,19,BOLD:AAF6259,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU1481,GS,100.0,BOLD:AAV7643.1,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bassus,Bassus annulipes,13,BOLD:AAV7643,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU1588,US,0.0000,None,Animalia,Arthropoda,Collembola,Symphypleona,NA,NA,NA,1,None,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU1759,US,0.8000,None,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,2,None,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,1,None,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4587,OTU2116,US,0.8000,None,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,1,None,2690-82974,6/16/2017,WR2SA,Dupont-Carr st.,N,BCCH,AHY,U
pomp.4588,OTU29,GS,99.4,BOLD:AAD6926.1,Animalia,Arthropoda,Arachnida,Araneae,Anyphaenidae,Anyphaena,Anyphaena pectorosa,14902,BOLD:AAD6926,831-92317,6/16/2017,WR2SA,Dupont-Carr st.,N,BAOR,AHY,F
pomp.4588,OTU35,GS,100.0,BOLD:AAG2724.3,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Zelus,Zelus luridus,6117,BOLD:AAG2724,831-92317,6/16/2017,WR2SA,Dupont-Carr st.,N,BAOR,AHY,F
pomp.4588,OTU49,GS,100.0,BOLD:AAA7035.3,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,Archips argyrospila,4024,BOLD:AAA7035,831-92317,6/16/2017,WR2SA,Dupont-Carr st.,N,BAOR,AHY,F
pomp.4588,OTU180,US,0.9976,BOLD:AAZ2945.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,593,BOLD:AAZ2945,831-92317,6/16/2017,WR2SA,Dupont-Carr st.,N,BAOR,AHY,F
pomp.4588,OTU247,GS,99.4,BOLD:AAJ0542.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Euryopis,Euryopis funebris,68,BOLD:AAJ0542,831-92317,6/16/2017,WR2SA,Dupont-Carr st.,N,BAOR,AHY,F
pomp.4588,OTU270,GS,99.4,BOLD:AAC5871.1,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,Hentzia palmarum,91,BOLD:AAC5871,831-92317,6/16/2017,WR2SA,Dupont-Carr st.,N,BAOR,AHY,F
