SampleID	OTUid	TaxMethod	AlignScore	BOLDid	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	CountReads	BOLDalt	DateSampled	BirdSpecies
OahuBird.311	OTU127_suspect_mock_chimera	GS	100	BOLD:ACQ6990.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	NA	507	BOLD:ACQ6990	7/15/03	RBLE
OahuBird.311	OTU195_suspect_mock_chimera	GS	100	BOLD:AAL7322.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	NA	NA	143	BOLD:AAL7322	7/15/03	RBLE
OahuBird.311	OTU209_suspect_mock_chimera	GS	100	BOLD:ACU1373.1	Animalia	Arthropoda	Insecta	Coleoptera	Psephenidae	Ectopria	Ectopria thoracica	307	BOLD:ACU1373	7/15/03	RBLE
OahuBird.311	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	2612	BOLD:ACL8650	7/15/03	RBLE
OahuBird.312	OTU447	US	1	BOLD:ACW6451.1	Animalia	Arthropoda	Insecta	Hemiptera	NA	NA	NA	1271	BOLD:ACW6451	7/4/03	MELT
OahuBird.312	OTU602	US	1	BOLD:ACL2631.1	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	95	BOLD:ACL2631	7/4/03	MELT
OahuBird.312	OTU859	US	1	BOLD:ABY0541.1	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	273	BOLD:ABY0541	7/4/03	MELT
OahuBird.312	OTU1160	US	1	None	Animalia	Arthropoda	Insecta	Dermaptera	NA	NA	NA	178	None	7/4/03	MELT
OahuBird.312	OTU1491	US	1	BOLD:ABX7790.1	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	57	BOLD:ABX7790	7/4/03	MELT
OahuBird.312	OTU127_suspect_mock_chimera	GS	100	BOLD:ACQ6990.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	NA	338	BOLD:ACQ6990	7/4/03	MELT
OahuBird.312	OTU131_suspect_mock_chimera	SS	0.96	BOLD:AAY1122.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	2571	BOLD:AAY1122	7/4/03	MELT
OahuBird.312	OTU1565_suspect_mock_chimera	GS	98.9	BOLD:ABA7833.1	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	54	BOLD:ABA7833	7/4/03	MELT
OahuBird.312	OTU162_suspect_mock_chimera	GS	97.2	BOLD:ACY7262.1	Animalia	Arthropoda	Insecta	Lepidoptera	Carposinidae	Carposina	Carposina paracrinifera	606	BOLD:ACY7262	7/4/03	MELT
OahuBird.312	OTU195_suspect_mock_chimera	GS	100	BOLD:AAL7322.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	NA	NA	101	BOLD:AAL7322	7/4/03	MELT
OahuBird.312	OTU209_suspect_mock_chimera	GS	100	BOLD:ACU1373.1	Animalia	Arthropoda	Insecta	Coleoptera	Psephenidae	Ectopria	Ectopria thoracica	278	BOLD:ACU1373	7/4/03	MELT
OahuBird.312	OTU2808_suspect_mock_variant	GS	98.6	BOLD:ABA9338.2	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	180	BOLD:ABA9338	7/4/03	MELT
OahuBird.312	OTU302_suspect_mock_chimera	GS	100	BOLD:AAC3755.4	Animalia	Arthropoda	Malacostraca	Isopoda	Porcellionidae	Porcellio	Porcellio scaber	1487	BOLD:AAC3755	7/4/03	MELT
OahuBird.312	OTU401_suspect_mock_chimera	SS	0.98	BOLD:AAF5971.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	1031	BOLD:AAF5971	7/4/03	MELT
OahuBird.312	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	3744	BOLD:ACL8650	7/4/03	MELT
OahuBird.312	OTU683_suspect_mock_chimera	GS	97.8	BOLD:ABW2846.1	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Mecyclothorax	NA	535	BOLD:ABW2846	7/4/03	MELT
OahuBird.312	OTU6_suspect_mock_chimera	SS	0.87	BOLD:AAD2665.5	Animalia	Arthropoda	Arachnida	Araneae	Philodromidae	Philodromus	NA	6786	BOLD:AAD2665	7/4/03	MELT
OahuBird.312	OTU708_suspect_mock_chimera	SS	1	BOLD:AAJ3120.2	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	496	BOLD:AAJ3120	7/4/03	MELT
OahuBird.312	OTU811_suspect_mock_chimera	GS	100	BOLD:AAA9627.2	Animalia	Arthropoda	Insecta	Ephemeroptera	Caenidae	Caenis	Caenis diminuta	59	BOLD:AAA9627	7/4/03	MELT
OahuBird.312	OTU840_suspect_mock_chimera	SS	1	BOLD:ADF0564.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	320	BOLD:ADF0564	7/4/03	MELT
OahuBird.312	OTU89_suspect_mock_chimera	SS	0.98	BOLD:AAD8248.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	3491	BOLD:AAD8248	7/4/03	MELT
OahuBird.323	OTU1028_suspect_mock_chimera	SS	1	BOLD:ABX4961.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	99	BOLD:ABX4961	7/4/03	RBLE
OahuBird.323	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	677	BOLD:ACL8650	7/4/03	RBLE
OahuBird.323	OTU89_suspect_mock_chimera	SS	0.98	BOLD:AAD8248.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	240	BOLD:AAD8248	7/4/03	RBLE
OahuBird.324	OTU506	GS	98.9	BOLD:AAO8154.1	Animalia	Arthropoda	Insecta	Hemiptera	NA	NA	NA	128	BOLD:AAO8154		RBLE
OahuBird.324	OTU1752	US	0.9934	BOLD:AAG3179.1	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	51	BOLD:AAG3179		RBLE
OahuBird.324	OTU1002_suspect_mock_chimera	GS	100	BOLD:AAE0520.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	66	BOLD:AAE0520		RBLE
