#OTU ID	sea-10	sea-20	sea-26	sea-30	sea-36	sea-41	sea-51	sea-82	sea-115	sea-123	sea-134	sea-156	sea-164	sea-171	Taxonomy
OTU107	0	0	1	0	0	0	0	0	0	1	0	0	0	0	SINTAX;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU108	0	0	1	0	0	0	0	0	0	1	0	0	0	0	BOLD:AAP6551;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU110	0	1	0	0	0	0	0	0	0	0	0	0	0	0	SINTAX;k:Animalia,p:Arthropoda,c:Insecta
OTU112	0	0	0	0	1	0	0	0	0	0	0	0	0	0	BOLD:AAD9965;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Pentatomidae,g:Brochymena,s:Brochymena quadripustulata
OTU113_suspect_mock_chimera	0	0	0	0	0	1	1	0	0	0	0	0	1	0	BOLD:AAA2590;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Noctuidae,g:Xestia,s:Xestia smithii
OTU114	0	0	1	1	0	1	0	0	0	0	0	0	0	0	SINTAX;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU115	0	0	0	0	1	0	0	0	0	0	0	0	0	0	BOLD:ACY5867;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Braconidae,g:Apanteles
OTU116	0	0	0	0	0	0	0	0	0	0	1	0	0	0	BOLD:AAH3496;k:Animalia,p:Arthropoda,c:Arachnida,o:Araneae
OTU117	0	0	0	0	0	0	0	0	0	0	0	1	0	0	SINTAX;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Tipula,s:Tipula oleracea
OTU118	0	0	0	0	0	1	0	0	0	0	0	0	0	0	SINTAX;k:Animalia,p:Arthropoda,c:Insecta
OTU119	0	0	0	0	0	0	0	1	0	0	0	0	0	0	BOLD:ACP1406;k:Animalia,p:Arthropoda,c:Insecta,o:Orthoptera
OTU120	0	0	0	0	0	1	1	0	0	0	0	0	1	0	BOLD:AAF9016;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU121	0	0	0	0	0	1	0	0	0	0	0	0	0	0	SINTAX;k:Animalia,p:Arthropoda,c:Insecta
OTU122	0	0	0	0	0	0	1	0	0	0	0	0	0	0	BOLD:AAG8597;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU124	0	0	0	0	0	0	1	0	0	0	0	0	1	0	BOLD:AAE8479;k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera,f:Heptageniidae,g:Maccaffertium,s:Maccaffertium mexicanum
OTU125	0	0	0	0	0	0	0	0	1	0	0	0	0	0	BOLD:AAG8670;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Phytocoris
OTU126	0	0	0	0	0	0	0	0	1	0	0	0	0	0	BOLD:AAB8726;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Erebidae,g:Melipotis
OTU129	0	0	0	0	0	0	1	0	0	0	0	0	0	0	BOLD:AAA7515;k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera,f:Caenidae,g:Caenis,s:Caenis youngi
OTU130	0	0	0	1	0	0	0	0	0	0	0	0	0	0	SINTAX;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU131	0	0	0	0	0	0	0	0	1	0	0	1	0	0	BOLD:AAO3944;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Geranomyia
OTU132	0	0	0	0	0	0	0	0	1	0	0	0	0	0	BOLD:AAA4646;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Crambidae,g:Microthyris,s:Microthyris prolongalis
OTU133	0	0	0	0	0	0	0	0	0	0	1	0	0	0	BOLD:ABZ6564;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Tortricidae,g:Clepsis,s:Clepsis peritana
OTU134	0	0	0	0	0	0	0	0	0	0	0	0	1	0	BOLD:AAB5440;k:Animalia,p:Arthropoda,c:Collembola,o:Entomobryomorpha,f:Tomoceridae,g:Tomocerus,s:Tomocerus minor
OTU138	0	0	0	0	0	0	0	0	0	1	0	0	0	0	BOLD:AAH3589;k:Animalia,p:Arthropoda,c:Insecta,o:Mantodea
OTU139	0	0	0	0	0	0	0	0	0	0	0	1	0	0	BOLD:AAF8979;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Metalimnobia,s:Metalimnobia novaeangliae
OTU144	0	0	0	0	0	0	0	0	1	0	0	0	0	0	BOLD:ABA8950;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU150	0	0	0	0	0	1	0	0	0	0	0	0	0	0	BOLD:AAA1518;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Crambidae,g:Scoparia,s:Scoparia biplagialis
OTU152	0	0	0	0	0	0	0	0	1	0	0	0	0	0	BOLD:AAF9064;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Elephantomyia,s:Elephantomyia westwoodi
OTU153	0	0	0	0	0	0	0	0	0	0	0	1	0	0	BOLD:AAV0590;k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Blattisociidae,g:Cheiroseius
OTU162	0	0	0	0	0	0	0	0	1	0	0	0	0	0	BOLD:AAG8977;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Derbidae,g:Otiocerus,s:Otiocerus degeerii
OTU163	0	0	0	0	0	0	0	0	1	0	0	0	0	0	BOLD:AAL5086;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Mycetophilidae,g:Exechiopsis
OTU164	0	0	0	0	0	0	0	0	1	0	0	0	0	0	BOLD:AAC7542;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Gelechiidae,g:Taygete,s:Taygete attributella
OTU168	0	0	0	0	0	0	0	0	0	0	0	1	0	0	SINTAX;k:Animalia,p:Arthropoda,c:Insecta
OTU169	0	0	0	0	0	0	0	0	0	0	0	0	1	0	BOLD:AAU8748;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae
