#OTU ID	extBlankA07	extBlankB11	extBlankC10	extBlankE08	extBlankH07	extBlankH08	extBlankH09	extBlankH10	extBlankH11	mockIM4pPerlut	nosample	solutBlankF02	solutBlankG04	une-01	une-02	une-03	une-04	une-05	une-06	une-07	une-09	une-10	une-11	une-12	une-13	une-14	une-15	une-16	une-17	une-18	une-19	une-20	une-21	une-22	une-23	une-24	une-25	une-26	une-27	une-28	une-29	une-30	une-31	une-32	une-33	une-34	une-35	une-36	une-37	une-38	une-39	une-40	une-41	une-42	une-43	une-44	une-45	une-46	une-47	une-48	une-49	une-50	une-51	une-52	une-53	une-54	une-55	une-56	une-57	une-58	une-60	une-61	une-62	une-63	une-64	une-65	une-66	une-67	une-68	une-69	une-71	une-72	une-73	une-74	une-76	Taxonomy
OTU68_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2934	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|99.4|BOLD:ACB0856.1;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Elateridae,g:Melanotus,s:Melanotus hyslopi
OTU69_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	61	45	0	0	0	0	0	0	827	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	109	0	0	0	0	0	47	0	0	0	0	GSL|100.0|BOLD:AAA7661.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Culicidae
OTU70_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|98.9|BOLD:ACY2915.1;k:Animalia,p:Arthropoda,c:Arachnida,o:Trombidiformes,f:Tarsonemidae
OTU71_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3198	0	0	0	0	0	0	0	0	0	0	0	0	GS|99.4|BOLD:AAI3613.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Odontomyia,s:Odontomyia pubescens
OTU72_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAC4559.2;k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera,f:Heptageniidae,g:Maccaffertium,s:Maccaffertium mediopunctatum
OTU73_suspect_mock_chimera	0	0	0	108	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2525	0	0	0	0	0	0	0	0	0	0	0	114	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	GS|91.7|BOLD:ACJ8629.1;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU74_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	1034	0	0	0	0	90	0	0	0	0	0	243	0	0	66	0	0	0	542	0	46	0	113	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|99.4|BOLD:AAF9872.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Syneches
OTU75_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAH4170.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chloropidae
OTU76_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|96.1|BOLD:AAA2383.1;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU77_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|99.4|BOLD:AAG2357.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tachinidae,g:Admontia
OTU78_suspect_mock_chimera	0	137	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1858	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAA3306.1;k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Goeridae,g:Goera,s:Goera calcarata
OTU79_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1748	218	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	GS|100.0|BOLD:AAN5879.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae
