SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,BOLDalt,Species,AgeClass,Sex,Date,NestBox,uneID,Sequenced,onclick
une-31,OTU354_suspect_mock_variant,GS,100,BOLD:AAA2229.4,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Idia,Idia concisa,29,BOLD:AAA2229,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2229
une-31,OTU358_suspect_mock_chimera,GS,100,BOLD:AAG4943.1,Animalia,Arthropoda,Insecta,Diptera,Keroplatidae,NA,NA,32,BOLD:AAG4943,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG4943
une-31,OTU360_suspect_mock_chimera,GS,99.4,BOLD:AAB6061.1,Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Phryganea,Phryganea sayi,203,BOLD:AAB6061,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB6061
une-31,OTU362_suspect_mock_chimera,GS,100,BOLD:ADC3363.3,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum,253,BOLD:ADC3363,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADC3363
une-31,OTU366_suspect_mock_chimera,US,0.9934,BOLD:ACX3924.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,178,BOLD:ACX3924,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACX3924
une-31,OTU367_suspect_mock_chimera,GS,100,BOLD:AAA5803.2,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Lygus,Lygus lineolaris,178,BOLD:AAA5803,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA5803
une-31,OTU373_suspect_mock_chimera,GS,99.4,BOLD:AAI1351.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Pseudolimnophila,Pseudolimnophila inornata,78,BOLD:AAI1351,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAI1351
une-31,OTU387_suspect_mock_chimera,GS,98.9,BOLD:AAF8995.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Antocha,Antocha saxicola,427,BOLD:AAF8995,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF8995
une-31,OTU388_suspect_mock_chimera,US,0.9715,BOLD:ABW8929.1,Animalia,Arthropoda,Maxillopoda,Cyclopoida,NA,NA,NA,179,BOLD:ABW8929,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABW8929
une-31,OTU392_suspect_mock_chimera,SS,0.98,BOLD:ACO2872.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,160,BOLD:ACO2872,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACO2872
une-31,OTU393_suspect_mock_chimera,GS,100,BOLD:AAJ4275.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus harpi,233,BOLD:AAJ4275,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAJ4275
une-31,OTU395_suspect_mock_chimera,GS,100,BOLD:AAI2765.1,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Pollenia,Pollenia labialis,162,BOLD:AAI2765,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAI2765
une-31,OTU396_suspect_mock_chimera,GS,100,BOLD:AAG9923.1,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Parcoblatta,NA,221,BOLD:AAG9923,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG9923
