SampleID,OTUid,OTU_identifier,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,Site,Date,BatTagID,BatSpecies,Sex
nau.7007,OTU7,BOLD:ACN4193,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,9,PTPA,F
nau.7009,OTU13,BOLD:AAA0716,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Metaponpneumata,Metaponpneumata rogenhoferi,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU22,BOLD:AAA0866,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU6,BOLD:AAA3313,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Coenipeta,Coenipeta bibitrix,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU61,BOLD:AAB6761,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tarache,Tarache tetragona,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU18,BOLD:AAB8726,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU40,BOLD:AAC1306,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Toxonprucha,Toxonprucha scitior,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU157,BOLD:AAE0544,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pero,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU9,BOLD:ABY7602,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Herpetogramma,Herpetogramma phaeopteralis,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU113,BOLD:ACE4783,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7009,OTU5,BOLD:ACO6860,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7010,OTU194,BOLD:AAI1345,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia (Idiopyga) halterella,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,12,PTPE,F
nau.7010,OTU5,BOLD:ACO6860,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,12,PTPE,F
nau.7011,OTU3,BOLD:AAA4727,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Eutelia,Eutelia furcata,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,15,PTPE,M
nau.7011,OTU4,BOLD:AAB0279,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,15,PTPE,M
nau.7011,OTU95,BOLD:AAE2024,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Stenoma,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,15,PTPE,M
nau.7011,OTU194,BOLD:AAI1345,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia (Idiopyga) halterella,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,15,PTPE,M
nau.7011,OTU78,BOLD:ACN3334,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,15,PTPE,M
nau.7011,OTU5,BOLD:ACO6860,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,15,PTPE,M
nau.7011,OTU135,BOLD:ACS3139,Animalia,Arthropoda,Insecta,Hemiptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,15,PTPE,M
nau.7012,OTU3,BOLD:AAA4727,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Eutelia,Eutelia furcata,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,17,PTGY,M
nau.7012,OTU44,BOLD:AAA8220,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Obrima,Obrima pyraloides,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,17,PTGY,M
nau.7012,OTU215,BOLD:ACE8901,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Illice,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,17,PTGY,M
nau.7012,OTU212,BOLD:ACJ6801,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,17,PTGY,M
nau.7012,OTU5,BOLD:ACO6860,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,17,PTGY,M
nau.7013,OTU419,BOLD:AAX2300,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,19,MOPR,F
nau.7013,OTU254,BOLD:ABA2453,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,19,MOPR,F
nau.7013,OTU233,BOLD:ACA3697,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Anomoea,Anomoea laticlavia,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,19,MOPR,F
nau.7013,OTU5,BOLD:ACO6860,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,19,MOPR,F
nau.7015,OTU5,BOLD:ACO6860,Animalia,Arthropoda,Insecta,Isoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,21,MOPR,F
nau.7019,OTU257,BOLD:AAM6826,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,unknown,SARDINA,6/1/16,12,RHBI,F
nau.7019,OTU363,BOLD:ACG3125,Animalia,Arthropoda,Insecta,Blattodea,unknown,unknown,unknown,SARDINA,6/1/16,12,RHBI,F
nau.7021,OTU16,BOLD:AAA0986,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,unknown,unknown,SARDINA,6/1/16,16,CAPE,F
