CommonName,LinneanName,Database
,Epinotia hopkinsana,CanadaNR
,Epinotia radicana,CanadaNR
,Epinotia solandriana,CanadaNR
,Epinotia subviridis,CanadaNR
,Epirrita autumnata,CanadaNR
,Epirrita pulchraria,CanadaNR
,Eriophyes fraxiniflora,CanadaNR
,Eriophyes sp.,CanadaNR
,Eucosma gloriola,CanadaNR
,Eulithis destinata,CanadaNR
,Eupeodes lapponicus,CanadaNR
,Eupithecia annulata,CanadaNR
,Eupithecia interruptofasciata,CanadaNR
,Eupithecia lariciata,CanadaNR
,Eupithecia longipalpata,CanadaNR
,Eupithecia niphadophilata,CanadaNR
,Eupithecia olivacea,CanadaNR
,Eupithecia ornata,CanadaNR
,Eupithecia palpata,CanadaNR
,Eupithecia placidata,CanadaNR
,Eupithecia subfuscata,CanadaNR
,Eupithecia unicolor,CanadaNR
,Eurois occulta,CanadaNR
,Eurytoma pissodis,CanadaNR
,Fenusa pusilla,CanadaNR
,Feralia comstocki,CanadaNR
,Feralia jocosa,CanadaNR
,Gabriola dyari,CanadaNR
,Gilpinia hercyniae,CanadaNR
,Glena nigricaria,CanadaNR
,Glycobius speciosus,CanadaNR
,Gnathotrichus sulcatus,CanadaNR
,Hemithea aestivaria,CanadaNR
,Heterarthrus nemoratus,CanadaNR
,Heterocampa guttivitta,CanadaNR
,Hyalophora euryalis,CanadaNR
,Hydriomena irata,CanadaNR
,Hydriomena speciosata,CanadaNR
,Hylesinus californicus [,CanadaNR
,Hylobius congener,CanadaNR
,Hylobius pales,CanadaNR
,Hylobius warreni,CanadaNR
,Hylurgopinus rufipes,CanadaNR
,Hypagyrtis piniata,CanadaNR
,Hyphantria cunea,CanadaNR
,Iridopsis ephyraria,CanadaNR
,Isochnus rufipes,CanadaNR
,Itame pustularia,CanadaNR
,Itoplectis conquisitor,CanadaNR
,Kaliofenusa ulmi,CanadaNR
,Lambdina fiscellaria,CanadaNR
,Lambdina fiscellaria lugubrosa,CanadaNR
,Lambdina fiscellaria somniaria,CanadaNR
,Lepidosaphes ulmi,CanadaNR
,Leptocorus trivittatus,CanadaNR
,Leucoma salicis,CanadaNR
,Lithophane atara,CanadaNR
,Lithophane itata,CanadaNR
,Lonchaea corticis,CanadaNR
,Lophocampa argentata,CanadaNR
,Lymantria dispar,CanadaNR
,Macaria adonis,CanadaNR
,Macaria signaria dispuncta,CanadaNR
,Malacosoma californicum pluviale,CanadaNR
,Malacosoma disstria,CanadaNR
,Megacyllene robiniae,CanadaNR
,Melanolophia imitata,CanadaNR
,Meteorus trachynotus,CanadaNR
,Mindarus abietinus,CanadaNR
,Monochamus scutellatus,CanadaNR
,Nematocampa resistaria,CanadaNR
,Neoalcis californiaria,CanadaNR
,Neodiprion abietis,CanadaNR
,Neodiprion lecontei,CanadaNR
,Neodiprion mundus,CanadaNR
,Neodiprion nanulus contortae,CanadaNR
,Neodiprion nanulus nanulus,CanadaNR
,Neodiprion sertifer,CanadaNR
,Neodiprion swainei,CanadaNR
,Neodiprion tsugae,CanadaNR
,Neophasia menapia,CanadaNR
,Nepytia freemani,CanadaNR
,Nepytia phantasmaria,CanadaNR
,Nepytia umbrosaria nigrovenaria,CanadaNR
,Nymphalis antiopa,CanadaNR
,Oligonychus ununguis,CanadaNR
,Operophtera bruceata,CanadaNR
,Operophtera brumata,CanadaNR
,Orgyia antiqua,CanadaNR
,Orgyia leucostigma,CanadaNR
,Orgyia pseudotsugata,CanadaNR
,Orthosia hibisci,CanadaNR
,Otiorhynchus ovatus,CanadaNR
,Paleacrita vernata,CanadaNR
,Paraclemensia acerifoliella,CanadaNR
,Paradiplosis tumifex,CanadaNR
,Paraphytomyza populicola,CanadaNR
,Pero behrensaria,CanadaNR
,Pero morrisonaria,CanadaNR
,Petrova albicapitana,CanadaNR
,Petrova metallica,CanadaNR
,Phloeosinus sequoiae,CanadaNR
,Phyllobius intrusus,CanadaNR
,Phyllocnistis populiella,CanadaNR
,Physokermes piceae,CanadaNR
,Pikonema alaskensis,CanadaNR
,Pikonema dimmockii,CanadaNR
,Pineus pinifoliae,CanadaNR
,Pineus strobi,CanadaNR
,Pissodes nemorensis,CanadaNR
,Pissodes strobi,CanadaNR
,Pissodes terminalis,CanadaNR
,Pleroneura brunneicornis,CanadaNR
,Podosesia syringae [,CanadaNR
,Prionoxystus robiniae,CanadaNR
,Pristiphora erichsonii,CanadaNR
,Pristiphora geniculata,CanadaNR
,Pristiphora leechi,CanadaNR
,Profenusa thomsoni,CanadaNR
,Promylea lunigerella,CanadaNR
,Protoboarmia porcelaria,CanadaNR
,Rhyacionia buoliana,CanadaNR
,Rhynchaenus testaceus,CanadaNR
,Sabulodes edwardsata,CanadaNR
,Saperda calcarata,CanadaNR
,Saperda populnea moesta,CanadaNR
,Sarcophaga aldrichi,CanadaNR
,Scolytus multistriatus,CanadaNR
,Semiothisa sexmaculata,CanadaNR
,Sesia tibialis,CanadaNR
,Sparganothis acerivorana,CanadaNR
,Stenoporpia pulmonaria satisfacta,CanadaNR
,Synanthedon sequoiae,CanadaNR
,Synaxis pallulata,CanadaNR
,Syndemis afflictana,CanadaNR
,Syngrapha alias,CanadaNR
,Syngrapha celsa,CanadaNR
,Taeniothrips inconsequens,CanadaNR
